,created_at,text
108,2021-04-26T15:27:52.000Z,@iliketeslas @WholeMarsBlog They can license hardware and software from Tesla and save the company.😺
109,2021-04-26T15:27:52.000Z,"RT @arvalis: @miniondeathcult I will fist fight elon musk, pass it on"
110,2021-04-26T15:27:50.000Z,"RT @blockchainshay: The chart on $LABRA looks so good 😍! 

It's not if, it's when it will.. 📈

Chart: https://t.co/wiiaVC9E6a 

$DOGE $SHIB…"
111,2021-04-26T15:27:50.000Z,RT @Joe28753: .@Tesla feature request. “I’m being pulled over” voice command. Activate all cameras including the cabin camera and microphon…
112,2021-04-26T15:27:49.000Z,"RT @carrisamarie0: Dogecoin Investor Becomes Millionaire in 2 Months, Inspired by Elon Musk. 

#Btc #Eth #Litecoin #Dogecoin https://t.co/M…"
113,2021-04-26T15:27:49.000Z,"Today will mark Day 1 of the Roaring Twenties. Compliments of $TSLA Q1 earnings

@elonmusk https://t.co/rIrxnJKmw2"
114,2021-04-26T15:27:49.000Z,@nbcsnl @elonmusk @MileyCyrus This is definitely one to skip. Elon Musk is a manbaby troll.
115,2021-04-26T15:27:47.000Z,"It's more fun to hate the obvious dickheads like the late Steve Jobs and Elon Musk, but pound for pound in the evil genius category, Bill Gates has them both in that minipocket on the upper inner side of his right pocket."
116,2021-04-26T15:27:43.000Z,"RT @varbmos: So I watched the Tesla FSD ""takedown"" video (which was itself taken down for copyright infringement).

What utter trash it was…"
117,2021-04-26T15:27:42.000Z,"RT @RBReich: So let me get this straight: Elon Musk and Jeff Bezos want to colonize outer space to save humanity, but they couldn't care le…"
118,2021-04-26T15:27:42.000Z,RT @RBReich: It’s understandable that the super wealthy might wish to escape the gravitational pull of the rest of us. But there’s really n…
119,2021-04-26T15:27:42.000Z,"RT @JonErlichman: Elon Musk and Jeff Bezos in 2008.

Today, they’re worth $382 billion. https://t.co/c3KUlKKQd0"
120,2021-04-26T15:27:41.000Z,@itsanewguy @Timcast @Tesla Haha yea go there and get shot
121,2021-04-26T15:27:40.000Z,"RT @Stocks4Youngies: What Id love to see this week:

$NIO above $45

$ALPP above $4

$ABML above $2.50

$AAPL above $140

$TSLA above $800…"
122,2021-04-26T15:27:40.000Z,✨ Participate in the April #Webull wheel event to win awesome prizes! 😍 4000 shares of TSLA stocks are waiting to be claimed. 💙 https://t.co/AEUXLNJmms
123,2021-04-26T15:27:38.000Z,"RT @RBReich: So let me get this straight: Elon Musk and Jeff Bezos want to colonize outer space to save humanity, but they couldn't care le…"
124,2021-04-26T15:27:35.000Z,"RT @babadookspinoza: People only hate Elon Musk because he comes from an emerald mining fortune made in apartheid South Africa, he buys ide…"
125,2021-04-26T15:27:35.000Z,"RT @AltcoinDailyio: Elon Musk to host SNL on May 8th. In other words, be ready for a $TSLA dip and a $DOGE pump. 🤯📈"
126,2021-04-26T15:27:33.000Z,"@Patrick_Fenelon I was thinking, you should actually challenge Elon Musk to a Space Jam."
127,2021-04-26T15:27:32.000Z,"RT @pervocracy: @miniondeathcult It is absolutely amazing how much people idolize Elon Musk for starting a Mars colony, a thing he has not…"
128,2021-04-26T15:27:31.000Z,RT @haug_jp: @tesla_adri @alex_avoigt @DriveTeslaca @28delayslater @elonmusk @WholeMarsBlog @raffaeru @mortenlund89 @flcnhvy @teslamag I kn…
129,2021-04-26T15:27:30.000Z,"RT @PPathole: Reasons why Tesla's are so safe: 

- Low center of gravity significantly reduces risk of rollovers. 

- No engine in front tr…"
130,2021-04-26T15:27:30.000Z,"RT @GunnelsWarren: No. I hate that Elon Musk became $160 billion richer during the pandemic while forcing workers to take a 10% pay cut, de…"
131,2021-04-26T15:27:30.000Z,"RT @pervocracy: @miniondeathcult It is absolutely amazing how much people idolize Elon Musk for starting a Mars colony, a thing he has not…"
132,2021-04-26T15:27:30.000Z,✨ Participate in the April #Webull wheel event to win awesome prizes! 😍 4000 shares of TSLA stocks are waiting to be claimed. 💙 https://t.co/eNCSuurHVS
133,2021-04-26T15:27:28.000Z,RT @brandonee916: When the first #fsdbeta was released in the fall... the world responded sending $tsla to levels not seen before. I wouldn…
134,2021-04-26T15:27:28.000Z,"UBS, Top Wisconsin Broker Face $23 Million Claim over Tesla Short https://t.co/uJB2FRGree"
135,2021-04-26T15:27:28.000Z,"RT @JeffTutorials: Under intense pressure from Tesla, @mrlevine has revealed Ford's 2022 F-150 design!

Totally unique and never see before…"
136,2021-04-26T15:27:28.000Z,"$SRAC Elon Musk's SpaceX is close to winning FCC approval to fly more than 4,000 Starlink satellites in a lower orbit. But rivals say it could increase collision risks. @soumyazen   https://t.co/jK8ZFW3De2 via @businessinsider"
137,2021-04-26T15:27:27.000Z,Yess yess and yess @elonmusk $TSLA @SpaceX https://t.co/nHCzM5MZ6a
138,2021-04-26T15:27:26.000Z,"@TheStalwart Tsla would look very similar, the later caption being car company?"
139,2021-04-26T15:27:26.000Z,"RT @brianshall: Testament to just how unfunny and fearful SNL has been for a good decade now, the few who watch are outraged that Elon Musk…"
140,2021-04-26T15:27:25.000Z,@arkosaurz this is what elon musk wants and we can't give it to him or he'll be too powerful
141,2021-04-26T15:27:25.000Z,RT @grisefinance: Our AI scans the top 1000 coins on coingecko runs them through 80 different technical indicators over the past trading da…
